11,-48,-9,-3,-2,3,6,28
-21,-32,-3,-3,-7,21,-10,-37
2,12,3,1,2,-7,-1,23
1,36,3,7,-17,6,8,-21
-14,41,9,9,26,-14,-9,-46
3,-44,-6,-1,6,-2,10,56
2,12,3,1,2,-7,-1,23
1,36,3,7,-17,6,8,-21
-14,41,9,9,26,-14,-9,-46
3,-44,-6,-1,6,-2,10,56
10,-42,5,3,16,18,-3,1
-5,22,2,7,46,13,-1,-18
-6,4,-4,-12,-49,-4,6,39
-1,28,2,-1,-12,-14,1,-20
-14,41,9,9,26,-14,-9,-46
3,-44,-6,-1,6,-2,10,56
10,-42,5,3,16,18,-3,1
-5,22,2,7,46,13,-1,-18
-6,4,-4,-12,-49,-4,6,39
-1,28,2,-1,-12,-14,1,-20
4,-22,-8,-4,-2,-6,5,-9
3,17,-2,-5,10,-10,-2,9
10,-42,5,3,16,18,-3,1
-5,22,2,7,46,13,-1,-18
-6,4,-4,-12,-49,-4,6,39
-1,28,2,-1,-12,-14,1,-20
4,-22,-8,-4,-2,-6,5,-9
3,17,-2,-5,10,-10,-2,9
-7,-50,-1,2,3,-4,-9,-48
1,37,5,7,31,19,20,-5
-6,4,-4,-12,-49,-4,6,39
-1,28,2,-1,-12,-14,1,-20
4,-22,-8,-4,-2,-6,5,-9
3,17,-2,-5,10,-10,-2,9
-7,-50,-1,2,3,-4,-9,-48
1,37,5,7,31,19,20,-5
2,5,-8,-5,9,-28,9,99
1,-35,-8,-15,-29,5,-16,116
-7,-50,-1,2,3,-4,-9,-48
1,37,5,7,31,19,20,-5
2,5,-8,-5,9,-28,9,99
1,-35,-8,-15,-29,5,-16,116
12,23,4,2,26,29,-22,-79
-1,3,4,2,-71,-17,16,-10
-8,22,-6,6,54,8,-11,-13
-4,-23,8,-2,-11,10,9,-56
2,5,-8,-5,9,-28,9,99
1,-35,-8,-15,-29,5,-16,116
12,23,4,2,26,29,-22,-79
-1,3,4,2,-71,-17,16,-10
-8,22,-6,6,54,8,-11,-13
-4,-23,8,-2,-11,10,9,-56
4,-5,-10,-3,8,13,10,89
-15,42,-9,-11,6,-28,-13,-33
12,23,4,2,26,29,-22,-79
-1,3,4,2,-71,-17,16,-10
-8,22,-6,6,54,8,-11,-13
-4,-23,8,-2,-11,10,9,-56
4,-5,-10,-3,8,13,10,89
-15,42,-9,-11,6,-28,-13,-33
38,-53,5,4,-27,-13,7,-99
4,54,0,-1,-57,-8,-16,47
12,23,4,2,26,29,-22,-79
-1,3,4,2,-71,-17,16,-10
-8,22,-6,6,54,8,-11,-13
-4,-23,8,-2,-11,10,9,-56
4,-5,-10,-3,8,13,10,89
-15,42,-9,-11,6,-28,-13,-33
38,-53,5,4,-27,-13,7,-99
4,54,0,-1,-57,-8,-16,47
12,23,4,2,26,29,-22,-79
-1,3,4,2,-71,-17,16,-10
-8,22,-6,6,54,8,-11,-13
-4,-23,8,-2,-11,10,9,-56
4,-5,-10,-3,8,13,10,89
-15,42,-9,-11,6,-28,-13,-33
38,-53,5,4,-27,-13,7,-99
4,54,0,-1,-57,-8,-16,47
-8,22,-6,6,54,8,-11,-13
-4,-23,8,-2,-11,10,9,-56
4,-5,-10,-3,8,13,10,89
-15,42,-9,-11,6,-28,-13,-33
38,-53,5,4,-27,-13,7,-99
4,54,0,-1,-57,-8,-16,47
26,-21,-3,9,34,-7,15,77
-14,31,0,-4,-12,-6,-14,-91
26,-21,-3,9,34,-7,15,77
-14,31,0,-4,-12,-6,-14,-91
-10,-31,-1,2,2,-3,-6,21
-3,-7,-5,0,-5,6,2,9
-7,-2,0,-10,-12,3,-6,-19
8,8,2,-3,-25,-9,1,29
2,20,-4,4,18,14,7,-5
1,-2,6,6,-3,-6,-4,-14
-7,-2,0,-10,-12,3,-6,-19
8,8,2,-3,-25,-9,1,29
2,20,-4,4,18,14,7,-5
1,-2,6,6,-3,-6,-4,-14
-14,-8,-11,2,32,-6,-8,1
-18,-26,-2,-4,-9,12,0,-1
0,3,-2,-13,-2,6,-2,-10
3,-9,-1,10,53,7,0,8
2,20,-4,4,18,14,7,-5
1,-2,6,6,-3,-6,-4,-14
-14,-8,-11,2,32,-6,-8,1
-18,-26,-2,-4,-9,12,0,-1
0,3,-2,-13,-2,6,-2,-10
3,-9,-1,10,53,7,0,8
0,20,4,-11,-74,-7,5,-50
2,-5,-8,-1,15,-6,-6,28
-14,-8,-11,2,32,-6,-8,1
-18,-26,-2,-4,-9,12,0,-1
0,3,-2,-13,-2,6,-2,-10
3,-9,-1,10,53,7,0,8
0,20,4,-11,-74,-7,5,-50
2,-5,-8,-1,15,-6,-6,28
0,-26,0,0,2,10,3,-5
9,43,-5,-8,8,3,-3,2
0,3,-2,-13,-2,6,-2,-10
3,-9,-1,10,53,7,0,8
0,20,4,-11,-74,-7,5,-50
2,-5,-8,-1,15,-6,-6,28
0,-26,0,0,2,10,3,-5
9,43,-5,-8,8,3,-3,2
-9,-54,2,6,14,5,3,-4
9,12,0,1,-10,-6,-6,-19
0,20,4,-11,-74,-7,5,-50
2,-5,-8,-1,15,-6,-6,28
0,-26,0,0,2,10,3,-5
9,43,-5,-8,8,3,-3,2
-9,-54,2,6,14,5,3,-4
9,12,0,1,-10,-6,-6,-19
1,3,-2,-4,5,-1,9,29
9,9,-3,-2,-8,4,6,-3
-9,-54,2,6,14,5,3,-4
9,12,0,1,-10,-6,-6,-19
1,3,-2,-4,5,-1,9,29
9,9,-3,-2,-8,4,6,-3
-5,13,4,-14,-32,-10,-10,-9
4,-13,7,27,40,14,11,20
-1,-2,0,8,4,-6,-8,-8
-7,-3,-15,-18,-33,7,5,-7
1,3,-2,-4,5,-1,9,29
9,9,-3,-2,-8,4,6,-3
-5,13,4,-14,-32,-10,-10,-9
4,-13,7,27,40,14,11,20
-1,-2,0,8,4,-6,-8,-8
-7,-3,-15,-18,-33,7,5,-7
0,7,2,-3,9,-2,0,10
-4,-16,-4,-8,-17,-18,-10,5
1,3,-2,-4,5,-1,9,29
9,9,-3,-2,-8,4,6,-3
-5,13,4,-14,-32,-10,-10,-9
4,-13,7,27,40,14,11,20
-1,-2,0,8,4,-6,-8,-8
-7,-3,-15,-18,-33,7,5,-7
0,7,2,-3,9,-2,0,10
-4,-16,-4,-8,-17,-18,-10,5
-1,-2,0,8,4,-6,-8,-8
-7,-3,-15,-18,-33,7,5,-7
0,7,2,-3,9,-2,0,10
-4,-16,-4,-8,-17,-18,-10,5
1,16,8,6,13,3,7,-4
-2,-11,7,5,-7,-19,-10,-7
-1,2,-6,4,7,17,3,-4
1,3,-5,-7,6,-5,-3,1
-1,-2,0,8,4,-6,-8,-8
-7,-3,-15,-18,-33,7,5,-7
0,7,2,-3,9,-2,0,10
-4,-16,-4,-8,-17,-18,-10,5
1,16,8,6,13,3,7,-4
-2,-11,7,5,-7,-19,-10,-7
-1,2,-6,4,7,17,3,-4
1,3,-5,-7,6,-5,-3,1
1,16,8,6,13,3,7,-4
-2,-11,7,5,-7,-19,-10,-7
-1,2,-6,4,7,17,3,-4
1,3,-5,-7,6,-5,-3,1
7,7,4,1,-35,1,6,3
-9,-14,-2,-8,14,8,5,2
0,8,0,1,13,-13,-12,-4
-2,0,0,3,5,14,7,5
-1,2,-6,4,7,17,3,-4
1,3,-5,-7,6,-5,-3,1
7,7,4,1,-35,1,6,3
-9,-14,-2,-8,14,8,5,2
0,8,0,1,13,-13,-12,-4
-2,0,0,3,5,14,7,5
5,10,5,-7,-20,-35,-21,-13
-14,-28,-13,-1,6,32,16,6
7,7,4,1,-35,1,6,3
-9,-14,-2,-8,14,8,5,2
0,8,0,1,13,-13,-12,-4
-2,0,0,3,5,14,7,5
5,10,5,-7,-20,-35,-21,-13
-14,-28,-13,-1,6,32,16,6
2,14,14,20,-3,12,0,-1
5,5,4,19,14,-55,-20,-7
0,8,0,1,13,-13,-12,-4
-2,0,0,3,5,14,7,5
5,10,5,-7,-20,-35,-21,-13
-14,-28,-13,-1,6,32,16,6
2,14,14,20,-3,12,0,-1
5,5,4,19,14,-55,-20,-7
-19,-29,-41,-40,-8,96,33,-1
15,24,33,26,-10,-46,-26,-3
5,10,5,-7,-20,-35,-21,-13
-14,-28,-13,-1,6,32,16,6
2,14,14,20,-3,12,0,-1
5,5,4,19,14,-55,-20,-7
-19,-29,-41,-40,-8,96,33,-1
15,24,33,26,-10,-46,-26,-3
-13,-18,-56,-38,10,44,13,-1
2,1,10,3,-13,22,12,6
2,14,14,20,-3,12,0,-1
5,5,4,19,14,-55,-20,-7
-19,-29,-41,-40,-8,96,33,-1
15,24,33,26,-10,-46,-26,-3
-13,-18,-56,-38,10,44,13,-1
2,1,10,3,-13,22,12,6
8,12,22,27,13,-57,-20,-5
3,2,2,-20,-17,-9,0,1
-13,-18,-56,-38,10,44,13,-1
2,1,10,3,-13,22,12,6
8,12,22,27,13,-57,-20,-5
3,2,2,-20,-17,-9,0,1
7,7,23,-2,25,-24,-7,0
2,-3,-8,26,-33,8,6,9
-2,0,-40,-87,-7,-11,-10,-5
